id,Sexe,Age,Continent,NbCafeSemaine,NbBiereSemaine,TransportFavori,PaiementFavori
45,M,82,SA,9,6,Metro,PayPal
46,F,66,OC,7,13,Velo,PayPal
47,M,64,AN,1,3,Metro,Comptant
48,M,48,AN,1,7,Metro,Comptant
49,M,74,SA,5,9,Avion,Credit
50,M,25,AS,10,14,Velo,Credit
51,M,97,SA,12,15,Velo,Credit
52,M,96,EU,17,18,Velo,Credit
53,M,41,AF,11,8,Velo,Comptant
54,F,41,SA,3,20,Train,Comptant
55,M,57,NA,4,21,Train,PayPal
56,F,95,EU,12,1,Avion,Credit
57,M,58,OC,0,10,Voiture,Comptant
58,M,22,EU,20,5,Metro,Comptant
59,F,52,SA,17,13,Bateau,Credit
60,F,22,AF,4,7,Velo,PayPal
61,F,59,AN,15,5,Avion,PayPal
62,M,33,AS,16,20,Metro,Credit
63,M,97,AN,13,5,Metro,Comptant
64,F,57,SA,14,13,Avion,Comptant
65,M,22,EU,18,6,Avion,PayPal
66,M,23,NA,19,8,Bateau,Comptant
67,M,21,AS,7,20,Train,Credit
68,M,95,EU,18,20,Metro,Comptant
69,M,89,AN,14,3,Avion,Credit
70,F,58,SA,17,13,Train,Comptant
71,M,80,NA,8,17,Voiture,PayPal
72,F,23,AF,11,4,Bateau,Comptant
73,M,93,AN,11,7,Avion,PayPal
74,M,21,SA,17,1,Train,Credit
75,M,44,AF,9,7,Metro,PayPal
76,F,97,EU,7,12,Train,Comptant
77,M,90,EU,12,2,Avion,Comptant
78,F,91,AF,8,17,Avion,PayPal
79,M,38,AN,17,1,Avion,Credit
80,M,64,OC,9,6,Velo,Comptant
81,M,66,AF,18,8,Bateau,PayPal
82,M,83,OC,3,2,Bateau,Credit
83,M,94,AF,1,11,Metro,Credit
84,M,23,AS,15,11,Bateau,Credit
85,M,31,EU,14,17,Bateau,Comptant
86,M,100,OC,17,6,Avion,PayPal
87,M,83,AF,1,7,Avion,PayPal
88,M,65,NA,10,19,Metro,Credit
89,F,70,OC,6,17,Train,PayPal
90,M,49,AN,0,1,Metro,Credit
91,F,92,SA,10,20,Velo,Credit
92,F,34,SA,0,4,Avion,PayPal
93,F,89,OC,0,16,Avion,PayPal
94,F,61,AN,18,3,Metro,PayPal
95,M,60,AN,12,9,Train,PayPal
96,M,82,EU,18,14,Metro,Comptant
97,F,79,AN,20,16,Bateau,Comptant
98,M,54,NA,13,8,Voiture,Comptant
99,F,34,EU,1,9,Voiture,PayPal
100,F,48,AF,0,2,Voiture,Credit
101,F,27,NA,8,14,Velo,Comptant
102,M,99,AF,17,15,Train,Credit
103,M,30,AS,20,7,Metro,PayPal
104,M,22,AS,9,18,Metro,Comptant
105,F,29,OC,21,3,Metro,Credit
106,F,38,NA,9,15,Train,PayPal
107,F,55,AN,2,17,Voiture,Credit
108,M,60,NA,11,16,Bateau,PayPal
109,F,91,OC,9,16,Metro,Comptant
110,M,51,EU,11,12,Train,Comptant
111,M,100,OC,15,8,Voiture,PayPal
112,F,48,NA,16,12,Avion,Credit
113,F,27,SA,20,11,Metro,Comptant
114,F,81,AN,13,16,Train,Credit
115,F,67,AS,9,2,Metro,Credit
116,M,32,EU,11,5,Metro,Comptant
117,F,98,NA,1,4,Velo,Comptant
118,M,71,AN,18,2,Voiture,Credit
119,M,89,AN,6,20,Metro,PayPal
120,M,95,EU,7,7,Velo,Credit
121,M,25,EU,4,3,Metro,Credit
122,F,99,AN,11,14,Bateau,Credit
123,M,29,AF,4,16,Voiture,PayPal
124,F,43,SA,10,3,Bateau,Comptant
125,F,40,EU,19,17,Avion,PayPal
126,F,61,AS,11,16,Avion,Credit
127,F,43,SA,10,5,Voiture,Credit
128,M,99,NA,4,14,Voiture,Credit
129,F,25,AF,17,6,Voiture,Credit
130,F,30,NA,7,14,Velo,Credit
131,M,38,SA,2,16,Avion,Comptant
132,F,21,AF,7,5,Voiture,PayPal
133,M,40,AF,7,13,Train,PayPal
134,F,99,AN,4,1,Train,Credit
135,F,73,AN,15,7,Metro,Credit
136,M,92,EU,19,10,Train,PayPal
137,F,42,AF,14,6,Velo,Credit
138,M,64,AF,0,2,Velo,Credit
139,M,49,AS,0,18,Avion,PayPal
140,F,47,AN,4,0,Bateau,Comptant
141,M,53,AN,12,18,Bateau,Credit
142,M,72,EU,3,12,Bateau,Comptant
143,F,43,SA,11,13,Voiture,Comptant
144,F,74,AN,3,19,Train,PayPal
145,M,28,EU,5,0,Bateau,PayPal
146,M,78,OC,17,14,Velo,Credit
147,F,26,AF,10,4,Velo,Credit
148,F,59,OC,17,0,Avion,Credit
149,M,47,OC,2,19,Voiture,Credit
150,F,59,AS,13,14,Train,Credit
151,M,47,AN,18,21,Velo,Credit
152,F,92,AN,7,12,Metro,Credit
153,F,58,OC,1,1,Velo,Credit
154,M,30,AF,14,21,Voiture,Credit
155,F,34,OC,1,3,Velo,Comptant
156,M,61,NA,2,3,Voiture,PayPal
157,M,80,AF,6,11,Metro,Comptant
158,F,26,EU,20,12,Velo,PayPal
159,M,52,OC,1,13,Metro,PayPal
160,F,83,AN,1,1,Bateau,Credit
161,M,38,AF,17,4,Metro,Credit
162,M,59,AF,5,2,Metro,PayPal
163,M,80,AF,14,18,Velo,PayPal
164,F,51,NA,18,15,Bateau,Comptant
165,F,100,AF,18,3,Metro,Comptant
166,F,87,AF,17,9,Velo,PayPal
167,M,50,AF,2,14,Velo,Comptant
168,F,69,OC,6,8,Bateau,PayPal
169,F,86,EU,14,13,Voiture,Credit
170,M,57,AS,14,16,Velo,PayPal
171,F,91,OC,0,9,Bateau,Comptant
172,F,35,NA,11,12,Avion,Credit
173,M,32,AN,0,14,Velo,Credit
174,F,76,AS,10,6,Avion,PayPal
175,M,92,EU,6,16,Metro,Credit
176,M,52,NA,11,15,Avion,Credit
177,M,74,AN,14,18,Voiture,Comptant
178,M,65,AS,3,2,Velo,Credit
179,M,28,EU,4,6,Avion,PayPal
180,F,55,NA,10,4,Train,Comptant
181,F,82,AS,21,16,Train,PayPal
182,F,73,SA,18,12,Velo,Credit
183,M,73,SA,12,13,Voiture,PayPal
184,F,40,AS,21,14,Train,Credit
185,M,83,EU,5,14,Voiture,Comptant
186,M,25,OC,9,20,Voiture,PayPal
187,M,43,OC,16,2,Velo,Credit
188,M,53,SA,16,6,Voiture,Comptant
189,M,89,OC,3,5,Bateau,PayPal
190,M,82,EU,0,18,Metro,Credit
191,F,38,AS,14,6,Velo,Credit
192,F,50,AN,13,19,Bateau,Credit
193,M,95,NA,4,19,Metro,PayPal
194,F,49,SA,14,5,Bateau,PayPal
195,F,99,AN,11,9,Train,Comptant
196,F,37,AS,0,13,Metro,PayPal
197,M,77,EU,8,13,Train,PayPal
198,F,25,OC,14,12,Train,Comptant
199,F,97,SA,9,2,Metro,PayPal
200,F,95,AF,2,1,Train,Comptant
201,F,86,EU,16,6,Voiture,Credit
202,F,31,OC,8,1,Metro,Comptant
203,F,47,AN,8,21,Metro,Comptant
204,M,66,OC,8,1,Avion,Credit
205,F,22,AS,12,9,Voiture,PayPal
206,M,66,AF,1,14,Train,Credit
207,F,78,AN,5,17,Velo,Credit
208,F,84,AF,0,12,Train,Credit
209,F,91,OC,16,15,Metro,PayPal
210,M,76,AN,15,19,Metro,Credit
211,M,23,SA,12,2,Metro,Comptant
212,M,85,AN,2,21,Voiture,Credit
213,F,75,NA,20,8,Bateau,Comptant
214,M,23,AN,17,13,Bateau,PayPal
215,M,93,EU,21,18,Bateau,Comptant
216,M,89,AS,2,11,Bateau,Comptant
217,M,34,AF,3,9,Avion,Comptant
218,M,82,AF,19,0,Avion,PayPal
219,F,68,AF,14,15,Bateau,Comptant
220,M,28,AS,11,0,Velo,Credit
221,M,31,OC,8,20,Voiture,PayPal
222,F,31,SA,11,8,Train,Credit
223,M,76,AS,1,16,Velo,Credit
224,M,90,EU,6,12,Train,Comptant
225,M,61,SA,15,13,Voiture,Credit
226,F,87,EU,9,15,Voiture,Comptant
227,M,56,AF,2,17,Metro,Credit
228,F,80,AN,7,16,Train,Comptant
229,M,67,OC,4,21,Bateau,PayPal
230,M,76,SA,14,10,Velo,PayPal
231,F,46,AF,13,2,Voiture,PayPal
232,F,54,AS,15,21,Velo,Credit
233,M,26,SA,18,18,Voiture,PayPal
234,M,56,SA,1,17,Avion,Credit
235,F,67,AN,2,14,Bateau,Comptant
236,F,99,SA,0,13,Velo,Comptant
237,F,85,EU,18,20,Metro,PayPal
238,M,76,AF,18,4,Train,Comptant
239,M,31,OC,11,20,Velo,Comptant
240,M,71,AN,5,1,Velo,Comptant
241,F,63,AN,20,2,Bateau,PayPal
242,M,58,SA,20,10,Avion,Credit
243,M,87,EU,13,20,Velo,Credit
244,M,65,OC,21,15,Train,Comptant
245,F,41,NA,16,12,Metro,Credit
246,F,75,EU,14,5,Velo,Comptant
247,F,39,AF,13,19,Metro,PayPal
248,F,49,EU,16,8,Train,PayPal
249,F,54,AN,11,15,Bateau,Credit
250,M,82,OC,18,3,Train,Comptant
251,F,83,SA,11,12,Metro,PayPal
252,F,88,EU,1,6,Voiture,PayPal
253,F,81,AF,13,16,Metro,PayPal
254,F,22,AF,12,12,Avion,Credit
255,M,71,AF,18,4,Voiture,PayPal
256,M,40,AN,4,9,Train,Credit
257,F,75,SA,12,8,Metro,PayPal
258,M,48,AN,15,17,Avion,Comptant
259,F,78,AS,3,11,Metro,Comptant
260,M,69,NA,9,4,Velo,PayPal
261,M,51,EU,5,13,Metro,Credit
262,F,82,SA,14,16,Velo,PayPal
263,F,44,NA,13,17,Metro,PayPal
264,F,77,AN,13,12,Avion,Comptant
265,M,64,OC,3,18,Voiture,Credit
266,F,31,OC,11,13,Velo,PayPal
267,F,65,OC,21,7,Avion,Comptant
268,F,56,AS,8,15,Metro,Credit
269,F,79,AF,16,2,Metro,Credit
270,F,97,OC,16,10,Velo,PayPal
271,F,65,EU,14,5,Velo,Credit
272,F,40,EU,18,6,Train,Comptant
273,F,31,AF,14,5,Bateau,Credit
274,F,83,SA,11,19,Metro,Credit
275,M,41,EU,17,16,Train,Comptant
276,M,76,AS,10,8,Velo,PayPal
277,M,59,EU,1,2,Train,Comptant
278,F,65,EU,11,16,Voiture,PayPal
279,M,40,OC,14,5,Voiture,PayPal
280,F,69,OC,9,2,Voiture,Credit
281,M,53,AS,4,0,Voiture,Comptant
282,M,26,NA,0,5,Train,PayPal
283,F,67,OC,13,18,Voiture,Comptant
284,F,45,SA,12,18,Velo,PayPal
285,M,67,EU,14,7,Bateau,Comptant
286,F,56,EU,13,11,Velo,Comptant
287,F,51,SA,21,2,Voiture,Credit
288,M,52,EU,21,9,Avion,Comptant
289,F,86,AN,7,0,Bateau,Comptant
290,M,43,SA,8,1,Voiture,Credit
291,F,91,AN,9,6,Avion,PayPal
292,M,75,AF,6,8,Velo,PayPal
293,F,78,SA,21,4,Metro,Comptant
294,M,72,AN,4,1,Bateau,Comptant
295,M,22,SA,17,17,Velo,Comptant
296,M,34,EU,5,21,Avion,PayPal
297,F,58,NA,20,7,Metro,Comptant
298,F,22,OC,18,14,Bateau,Comptant
299,F,61,NA,14,10,Bateau,PayPal
300,F,68,EU,14,1,Velo,Credit
301,F,95,SA,21,1,Metro,Comptant
302,F,45,OC,3,0,Metro,Credit
303,F,99,AN,3,16,Avion,PayPal
304,F,39,AN,21,11,Bateau,PayPal
305,M,88,NA,20,9,Metro,Comptant
306,M,37,AS,7,14,Velo,PayPal
307,M,95,AN,2,16,Train,PayPal
308,M,52,AF,14,17,Velo,PayPal
309,F,99,AN,18,21,Avion,Comptant
310,F,67,SA,6,21,Train,Credit
311,F,58,AF,12,2,Bateau,PayPal
312,M,64,SA,21,5,Avion,Credit
313,F,82,AN,14,1,Bateau,PayPal
314,M,98,AN,21,10,Voiture,PayPal
315,M,35,EU,7,1,Metro,Comptant
316,M,57,SA,2,19,Bateau,Comptant
317,M,92,AS,12,9,Velo,Comptant
318,M,90,SA,15,10,Bateau,Credit
319,M,93,AF,21,11,Metro,PayPal
320,M,80,AN,18,2,Train,Comptant
321,F,45,NA,1,5,Metro,Credit
322,M,66,EU,20,4,Bateau,Comptant
323,F,89,NA,11,17,Train,PayPal
324,M,44,AN,1,18,Bateau,Comptant
325,F,81,EU,20,12,Metro,PayPal
326,F,83,AS,21,10,Avion,Credit
327,F,88,AS,1,4,Velo,Comptant
328,M,21,EU,19,19,Avion,PayPal
329,F,33,AS,16,1,Avion,Comptant
330,F,29,NA,17,14,Train,PayPal
331,F,84,AF,1,8,Metro,Credit
332,M,93,AF,7,21,Train,PayPal
333,F,81,SA,5,0,Bateau,Credit
334,M,48,NA,7,1,Metro,Comptant
335,M,36,AS,0,2,Metro,PayPal
336,F,61,EU,4,15,Voiture,Credit
337,F,38,SA,16,2,Voiture,Credit
338,M,82,SA,14,10,Metro,PayPal
339,M,56,AS,19,3,Bateau,Credit
340,F,46,EU,12,18,Avion,PayPal
341,F,30,NA,15,21,Metro,PayPal
342,M,21,AS,19,19,Bateau,PayPal
343,M,55,NA,11,3,Voiture,PayPal
344,F,58,OC,16,19,Train,Comptant
345,F,56,SA,15,20,Train,Comptant
346,F,58,AS,11,21,Metro,PayPal
347,M,53,AN,19,20,Voiture,Comptant
348,F,45,OC,4,1,Bateau,Comptant
349,F,95,AN,4,1,Train,Comptant
350,M,42,NA,5,6,Voiture,PayPal
351,F,89,AF,12,0,Bateau,PayPal
352,F,52,OC,2,12,Train,PayPal
353,M,32,AF,9,12,Metro,Comptant
354,F,95,AF,20,16,Bateau,PayPal
355,M,80,AN,3,19,Velo,PayPal
356,M,40,AS,8,12,Metro,Credit
357,M,65,AS,3,2,Bateau,Credit
358,F,98,EU,5,1,Bateau,PayPal
359,F,33,AN,16,9,Avion,Comptant
360,F,42,SA,18,4,Velo,PayPal
361,F,100,NA,4,11,Metro,Credit
362,F,79,AS,2,13,Metro,Credit
363,F,27,AF,11,8,Bateau,Credit
364,M,95,EU,3,12,Metro,PayPal
365,F,28,SA,5,20,Metro,PayPal
366,M,45,AN,12,7,Train,Credit
367,M,45,AF,13,19,Metro,PayPal
368,M,52,NA,10,13,Avion,Comptant
369,F,37,AS,7,2,Avion,Comptant
370,M,46,SA,2,4,Avion,Credit
371,F,59,AF,14,18,Voiture,PayPal
372,M,70,NA,12,19,Velo,PayPal
373,F,40,SA,19,20,Train,PayPal
374,M,28,AF,11,4,Train,Comptant
375,M,76,OC,12,2,Avion,Comptant
376,M,77,AF,20,6,Bateau,Comptant
377,M,36,NA,12,10,Avion,Comptant
378,M,38,NA,18,11,Avion,Credit
379,M,92,OC,11,13,Bateau,Comptant
380,M,30,EU,5,0,Velo,Credit
381,F,40,OC,16,18,Voiture,Comptant
382,M,90,EU,4,10,Metro,PayPal
383,F,28,AS,5,2,Train,PayPal
384,M,69,NA,5,12,Metro,Credit
385,F,69,SA,11,4,Velo,Credit
386,F,38,EU,13,5,Bateau,PayPal
387,F,31,NA,8,7,Metro,Comptant
388,M,54,OC,20,12,Metro,Credit
389,M,53,NA,6,18,Metro,Credit
390,F,91,AN,0,11,Train,Comptant
391,M,52,EU,11,1,Metro,Comptant
392,F,80,EU,8,8,Metro,Comptant
393,M,57,EU,15,12,Train,Credit
394,F,62,AS,3,5,Avion,Comptant
395,F,86,SA,11,3,Metro,PayPal
396,M,55,EU,17,8,Metro,PayPal
397,M,87,OC,10,20,Bateau,Credit
398,F,80,AF,7,2,Voiture,Credit
399,M,30,OC,21,3,Voiture,Credit
400,M,29,AN,8,12,Train,Comptant
401,M,22,NA,10,19,Avion,PayPal
402,M,40,NA,13,16,Metro,Comptant
403,M,63,AN,1,7,Metro,Comptant
404,M,46,AF,13,2,Metro,Credit
405,F,22,NA,0,19,Avion,PayPal
406,M,89,OC,12,9,Avion,Comptant
407,M,44,NA,19,17,Velo,Credit
408,M,43,OC,10,10,Velo,PayPal
409,M,69,AS,15,12,Bateau,Credit
410,F,66,NA,20,14,Voiture,PayPal
411,M,52,NA,18,9,Train,Comptant
412,M,58,AN,0,2,Bateau,Comptant
413,M,23,AF,16,7,Bateau,Credit
414,M,32,NA,21,17,Avion,Comptant
415,M,85,AN,2,2,Bateau,PayPal
416,M,86,OC,2,10,Bateau,Comptant
417,F,49,OC,3,4,Bateau,PayPal
418,M,81,EU,20,0,Train,Credit
419,M,100,EU,5,0,Train,Comptant
420,F,99,SA,4,20,Bateau,PayPal
421,M,45,AS,15,7,Velo,Credit
422,M,79,AF,10,12,Voiture,PayPal
423,M,79,SA,19,13,Voiture,PayPal
424,M,55,NA,19,21,Avion,Comptant
425,M,87,AS,13,16,Avion,PayPal
426,M,65,AN,17,21,Velo,Credit
427,M,26,SA,11,8,Avion,Comptant
428,F,57,OC,16,19,Train,Credit
429,M,66,EU,4,17,Train,PayPal
430,F,32,NA,0,3,Avion,Credit
431,F,56,NA,7,9,Train,Comptant
432,F,82,NA,11,14,Velo,PayPal
433,M,82,AS,18,10,Train,Credit
434,F,54,NA,0,21,Bateau,Credit
435,M,75,EU,15,5,Velo,Credit
436,F,44,OC,1,4,Metro,Comptant
437,M,75,SA,14,9,Avion,Credit
438,F,91,NA,20,17,Train,Comptant
439,M,43,EU,0,8,Avion,Comptant
440,M,24,AF,0,0,Avion,Comptant
441,M,72,AN,1,2,Voiture,PayPal
442,M,24,AF,18,14,Bateau,Credit
443,F,53,NA,3,17,Velo,PayPal
444,F,62,AN,17,4,Train,Comptant
445,M,29,AF,18,14,Train,Credit
446,M,31,AF,4,8,Avion,Comptant
447,M,88,EU,13,7,Metro,PayPal
448,M,67,SA,2,18,Metro,Credit
449,M,77,NA,18,4,Bateau,Credit
450,M,47,SA,3,7,Velo,PayPal
451,M,64,NA,14,8,Train,Credit
452,F,60,SA,15,14,Velo,PayPal
453,F,21,EU,15,5,Train,PayPal
454,M,63,AF,3,18,Bateau,Credit
455,F,93,AF,21,9,Metro,Comptant
456,M,90,AF,2,5,Train,Comptant
457,F,31,AF,11,18,Voiture,Credit
458,M,34,OC,14,13,Voiture,Credit
459,M,66,AS,13,13,Train,PayPal
460,F,56,AF,7,15,Avion,Comptant
461,M,60,AN,13,20,Avion,Credit
462,M,62,OC,19,7,Voiture,Comptant
463,M,85,SA,5,20,Bateau,Credit
464,M,25,AN,6,12,Bateau,Comptant
465,F,70,NA,6,11,Metro,Credit
466,M,37,AF,11,1,Avion,Credit
467,M,89,NA,7,19,Voiture,Credit
468,F,46,EU,9,2,Voiture,Comptant
469,F,45,AN,12,16,Metro,Credit
470,F,78,AF,15,8,Velo,Credit
471,M,75,AN,1,21,Avion,Comptant
472,M,58,EU,18,0,Bateau,Credit
473,M,90,NA,8,21,Metro,Credit
474,M,34,SA,10,10,Voiture,Credit
475,F,53,AN,12,4,Metro,Credit
476,F,39,NA,10,6,Train,Comptant
477,M,91,AF,13,2,Bateau,Credit
478,F,91,EU,10,10,Metro,Comptant
479,F,91,OC,1,11,Metro,PayPal
480,F,64,EU,3,19,Avion,Credit
481,F,85,NA,18,15,Voiture,Comptant
482,F,91,AN,3,10,Metro,PayPal
483,F,79,AS,13,13,Train,PayPal
484,M,89,OC,15,15,Avion,PayPal
485,F,24,SA,17,0,Train,Comptant
486,F,37,OC,17,5,Voiture,Credit
487,F,48,AS,21,13,Train,Credit
488,M,53,AN,20,3,Voiture,PayPal
489,M,45,AN,3,11,Avion,Comptant
490,M,83,EU,10,2,Train,Credit
491,M,49,NA,15,1,Bateau,PayPal
492,M,22,NA,4,13,Bateau,PayPal
493,F,77,AN,14,5,Voiture,Comptant
494,F,88,SA,4,3,Voiture,PayPal
495,F,94,OC,15,13,Metro,Credit
496,M,93,AS,15,3,Avion,Credit
497,M,46,EU,10,6,Voiture,Credit
498,F,28,OC,4,18,Metro,Credit
499,M,96,AS,20,2,Avion,PayPal
500,M,88,OC,5,9,Bateau,Comptant
501,F,36,NA,2,1,Velo,Credit
502,M,41,NA,3,9,Velo,Comptant
503,F,36,AS,9,10,Bateau,Credit
504,F,73,AS,12,2,Voiture,Credit
505,F,53,NA,5,19,Avion,Comptant
506,M,76,SA,5,2,Metro,Comptant
507,M,99,OC,3,13,Velo,Credit
508,M,57,OC,14,18,Train,Credit
509,M,63,EU,2,18,Metro,Comptant
510,M,73,NA,9,2,Velo,Comptant
511,F,22,OC,6,19,Bateau,PayPal
512,M,99,OC,13,17,Train,PayPal
513,F,37,SA,13,2,Velo,Comptant
514,F,25,SA,7,7,Bateau,Credit
515,M,24,AS,16,2,Velo,Credit
516,F,65,AS,13,14,Metro,Credit
517,M,21,AN,16,1,Voiture,PayPal
518,F,29,OC,20,18,Bateau,PayPal
519,F,24,NA,0,20,Train,Credit
520,F,68,OC,12,12,Metro,PayPal
521,F,55,SA,15,12,Avion,PayPal
522,M,70,AN,5,12,Velo,Comptant
523,F,48,OC,2,11,Velo,Comptant
524,M,38,AS,11,5,Avion,PayPal
525,M,92,OC,2,15,Metro,PayPal
526,F,28,EU,19,9,Metro,Credit
527,F,32,AN,9,7,Avion,Credit
528,M,51,SA,14,1,Avion,Comptant
529,F,92,EU,0,11,Velo,PayPal
530,F,85,OC,18,17,Train,Credit
531,M,97,AF,9,4,Metro,PayPal
532,M,48,AF,7,5,Velo,Comptant
533,F,38,EU,4,21,Avion,Comptant
534,M,56,NA,5,2,Metro,Credit
535,M,30,AN,4,17,Bateau,PayPal
536,M,93,AS,19,3,Bateau,PayPal
537,M,38,SA,19,21,Bateau,Comptant
538,F,23,OC,9,7,Avion,Credit
539,F,31,EU,5,12,Metro,PayPal
540,F,43,EU,9,5,Bateau,Comptant
541,M,69,AS,17,5,Metro,Credit
542,F,23,AN,20,20,Velo,Credit
543,M,58,AS,5,16,Metro,Credit
544,M,80,NA,0,19,Metro,Comptant
545,M,33,SA,8,17,Avion,Comptant
546,M,77,AF,10,1,Train,Credit
547,M,59,AN,10,7,Bateau,PayPal
548,M,99,OC,17,17,Velo,Comptant
549,M,37,AN,19,1,Voiture,Comptant
550,M,62,SA,7,5,Train,PayPal
551,F,31,NA,1,3,Train,Credit
552,M,88,NA,8,20,Voiture,PayPal
553,M,24,EU,15,5,Train,Credit
554,M,34,NA,0,7,Train,Comptant
555,F,97,AF,1,17,Train,Comptant
556,F,45,AN,12,15,Bateau,Credit
557,F,62,AN,8,5,Bateau,Credit
558,F,23,OC,18,21,Metro,PayPal
559,M,89,AS,2,2,Bateau,Comptant
560,M,77,AF,11,17,Bateau,Comptant
561,M,41,SA,8,10,Metro,PayPal
562,M,96,OC,5,18,Metro,PayPal
563,F,23,SA,19,20,Voiture,Credit
564,M,44,OC,15,19,Train,Credit
565,F,99,AS,14,9,Train,Credit
566,M,24,EU,7,21,Train,PayPal
567,F,58,OC,16,20,Bateau,Credit
568,M,84,OC,12,20,Bateau,PayPal
569,M,69,OC,12,18,Metro,Comptant
570,F,21,SA,17,8,Avion,PayPal
571,F,92,AF,11,6,Velo,PayPal
572,M,71,AN,6,15,Avion,PayPal
573,F,44,OC,16,6,Velo,PayPal
574,F,28,AN,18,1,Voiture,PayPal
575,F,99,EU,13,18,Train,Comptant
576,M,23,SA,21,14,Bateau,Comptant
577,M,84,AN,4,16,Bateau,Credit
578,M,23,AN,20,2,Avion,Comptant
579,F,27,AN,2,19,Train,Comptant
580,F,63,NA,14,20,Velo,Credit
581,F,91,AS,4,13,Voiture,PayPal
582,F,98,AS,2,19,Bateau,Credit
583,F,87,OC,4,12,Bateau,Credit
584,F,78,AS,9,20,Avion,Comptant
585,M,56,AF,3,2,Bateau,Comptant
586,M,21,OC,11,20,Train,Credit
587,M,89,AF,4,16,Avion,Credit
588,M,98,AN,17,8,Metro,Comptant
589,F,94,AS,9,13,Bateau,PayPal
590,M,64,NA,14,15,Velo,Comptant
591,F,40,AS,0,17,Metro,PayPal
592,F,74,SA,13,3,Voiture,Comptant
593,F,62,AS,8,1,Metro,PayPal
594,M,35,AS,20,1,Voiture,PayPal
595,M,34,EU,13,2,Velo,PayPal
596,F,49,OC,21,1,Velo,PayPal
597,M,34,OC,2,2,Avion,Comptant
598,F,61,EU,20,18,Voiture,Credit
599,F,81,NA,0,19,Velo,PayPal
600,F,31,AN,14,8,Metro,PayPal
601,M,90,EU,6,5,Velo,Credit
602,M,63,AS,1,10,Metro,Credit
603,F,54,EU,6,9,Velo,PayPal
604,M,49,AS,20,7,Velo,Comptant
605,M,52,AN,7,21,Bateau,Credit
606,M,82,AS,0,1,Voiture,Credit
607,F,98,AS,14,0,Metro,Credit
608,F,81,EU,1,8,Avion,Credit
609,M,93,NA,12,19,Train,Credit
610,M,37,AN,10,20,Train,Comptant
611,F,54,AF,20,19,Bateau,PayPal
612,F,81,AS,14,19,Avion,Credit
613,F,81,AF,16,14,Voiture,Comptant
614,M,90,OC,19,10,Voiture,Credit
615,F,23,SA,5,1,Avion,PayPal
616,M,33,AF,12,14,Bateau,Comptant
617,M,28,AF,0,20,Avion,Credit
618,F,93,AN,11,19,Velo,Comptant
619,M,95,SA,18,19,Voiture,Comptant
620,F,87,OC,18,5,Train,Comptant
621,F,23,EU,2,10,Bateau,Comptant
622,F,64,AN,16,21,Metro,PayPal
623,F,89,AF,10,1,Bateau,PayPal
624,M,60,AS,5,20,Avion,Comptant
625,M,57,AS,10,16,Voiture,Credit
626,F,54,EU,15,8,Train,Credit
627,M,45,AF,7,21,Train,Comptant
628,M,32,NA,18,4,Metro,PayPal
629,F,50,EU,12,8,Metro,Comptant
630,F,43,AF,7,12,Metro,Credit
631,M,81,OC,20,2,Avion,Credit
632,F,95,AF,11,5,Train,Comptant
633,M,89,AF,3,0,Voiture,Credit
634,F,54,NA,17,2,Avion,Credit
635,M,51,AF,1,15,Velo,Credit
636,F,21,SA,6,13,Voiture,PayPal
637,F,33,AF,6,12,Bateau,Credit
